field,block,whole_plot,area_acre,manure,x,y
18a,B1,a,9.4,yes,5.1,14.5
18b,B1,a,5.5,yes,5.3,13.3
18c,B1,a,7.5,yes,5.4,12
18d,B1,b,3.5,yes,5.5,10.9
18e,B1,b,4,yes,5.9,10.2
18f,B1,b,12,yes,7.1,9.5
14a,B2,a,9.5,yes,9,10
14b,B2,a,8.0,yes,8.3,8.8
13a,B2,a,9,yes,8.2,7.6
13b,B2,b,9.5,yes,8.1,6.9
10a,B2,b,12,no,7.6,5.4
10b,B2,b,13.25,yes,7.6,3.8
33a,B2,b,5.4,no,7,2
33b,B2,b,6.5,yes,6.5,1.5
32,B2,b,1.5,no,4.9,2
21,B3,a,17.8,yes,4,5
25a,B3,a,4.5,yes,4.1,6.2
25b,B3,a,15.5,yes,4.3,7.2
25c,B3,b,11,yes,4,9
25d,B3,b,17.5,yes,3,10.3
27,B3,b,8,yes,3.8,11.8
